invoice_number,deduction_amount,deduction_date,sku,deducted_qty,standard_customer,deduction_reason,billed_qty,net_price_per_qty,pod_shortage,customer_sign,carrier_sign,subject_to_count,validation_status,invalid_reason,invalid_amount,valid_amount,RCA,Recommendations,warehouse,region,carrier
11574,1932.81,7/1/2024,SKU132,19,Dollar General,OSD,22,50.56,2,yes,yes,no,invalid,pod does not support shortages,1932.81,0,Product Substitution,Work with sales team to communicate for new sku or substitution policy if original sku is not in stock,WH2,Southeast,Fedex
11574,2704.5,7/1/2024,SKU111,43,Meijer,OSD,45,99.14,4,yes,yes,no,invalid,pod does not support shortages,2704.5,0,Product Substitution,Work with sales team to communicate for new sku or substitution policy if original sku is not in stock,WH1,West,Fedex
11574,934.39,7/1/2024,SKU120,7,Costco,OSD,9,59.5,5,yes,yes,no,valid,,0,934.39,,,WH2,Southwest,Fedex
12548,4156.36,7/1/2024,SKU101,27,Dollar General,OSD,29,87.27,2,yes,yes,no,partially invalid,pod supports partial shortages,1606.63,2549.73,Load Sequencing,Contact the warehouse and they need to fix the issue with the carrier,WH3,Southwest,Fedex
12548,2504.5,7/1/2024,SKU135,28,BJ's,OSD,31,91.72,1,yes,yes,no,partially invalid,pod supports partial shortages,1976.12,528.38,Order Split,Notify the customers if their order is going in multiple shipments in advance to avoid this.,WH2,Southwest,Fedex
12548,3704.43,7/1/2024,SKU135,29,Meijer,OSD,33,90.63,5,yes,yes,no,valid,,0,3704.43,,,WH4,Southeast,Fedex
12548,1802.58,7/1/2024,SKU102,25,Supervalu,OSD,26,69.67,0,yes,yes,no,partially invalid,pod supports partial shortages,776.2,1026.38,Product Substitution,Work with sales team to communicate for new sku or substitution policy if original sku is not in stock,WH4,Southeast,Fedex
12990,2948.35,7/1/2024,SKU102,19,Dollar General,OSD,19,11.2,1,yes,yes,no,partially invalid,pod supports partial shortages,378.58,2569.77,Product Substitution,Work with sales team to communicate for new sku or substitution policy if original sku is not in stock,WH1,East,Fedex
12990,1301,7/1/2024,SKU109,29,Costco,OSD,32,27.95,1,yes,yes,no,invalid,pod does not support shortages,1301,0,Product Substitution,Work with sales team to communicate for new sku or substitution policy if original sku is not in stock,WH4,Southwest,Fedex
12990,1468.48,7/1/2024,SKU133,47,Dollar General,OSD,51,57.83,1,yes,yes,no,valid,,0,1468.48,,,WH2,Southeast,Fedex
12990,3263.65,7/1/2024,SKU100,5,Costco,OSD,8,12.81,5,yes,yes,no,partially invalid,pod supports partial shortages,1487.64,1776.01,Unit of Measurement,Create a master table to map all SKUs with the unit of measurement and educate the customer to follow the table for orders and deductions,WH4,South,Fedex
13724,713.24,7/1/2024,SKU125,36,BJ's,OSD,37,30.08,0,yes,yes,no,valid,,0,713.24,,,WH4,South,Fedex
13833,3519.26,7/1/2024,SKU120,37,Walmart,OSD,42,99.64,2,yes,yes,no,invalid,pod does not support shortages,3519.26,0,Price Mismatch,Could be a gross vs net issue. Educate the customer to take deduction on net price,WH4,East,Fedex
13833,1969.27,7/1/2024,SKU134,7,Amazon,OSD,11,87.05,0,yes,yes,no,valid,,0,1969.27,,,WH3,South,Fedex
13833,2617.76,7/1/2024,SKU130,1,Meijer,OSD,1,20.1,0,yes,yes,no,invalid,pod does not support shortages,2617.76,0,Product Substitution,Work with sales team to communicate for new sku or substitution policy if original sku is not in stock,WH1,East,Fedex
13833,3948.61,7/1/2024,SKU100,36,Walmart,OSD,37,42.64,4,yes,yes,no,invalid,pod does not support shortages,3948.61,0,Product Substitution,Work with sales team to communicate for new sku or substitution policy if original sku is not in stock,WH1,Southwest,Fedex
13926,3580.21,7/1/2024,SKU143,19,Kroger,OSD,21,40.55,1,yes,yes,no,partially invalid,pod supports partial shortages,2643,937.21,Load Sequencing,Contact the warehouse and they need to fix the issue with the carrier,WH4,East,Fedex
13926,4824.38,7/1/2024,SKU140,15,Supervalu,OSD,15,53.37,1,yes,yes,no,invalid,pod does not support shortages,4824.38,0,Order Split,Notify the customers if their order is going in multiple shipments in advance to avoid this.,WH3,Southeast,Fedex
14161,3916.48,7/1/2024,SKU107,35,Kroger,OSD,37,45.64,4,yes,yes,no,partially invalid,pod supports partial shortages,3431.55,484.93,Load Sequencing,Contact the warehouse and they need to fix the issue with the carrier,WH1,Southwest,Fedex
14161,4368.27,7/1/2024,SKU127,41,Target,OSD,44,82,2,yes,yes,no,valid,,0,4368.27,,,WH4,Southeast,Fedex
14161,3660.69,7/1/2024,SKU116,3,Supervalu,OSD,3,31.07,0,yes,yes,no,valid,,0,3660.69,,,WH1,South,Fedex
14161,1259.89,7/1/2024,SKU123,41,Meijer,OSD,43,24.26,1,yes,yes,no,valid,,0,1259.89,,,WH1,South,Fedex
14161,928.36,7/1/2024,SKU136,12,Amazon,OSD,12,83.25,5,yes,yes,no,partially invalid,pod supports partial shortages,682.3,246.06,Load Sequencing,Contact the warehouse and they need to fix the issue with the carrier,WH2,Midwest,Fedex
14204,4902.67,7/1/2024,SKU115,27,Supervalu,OSD,28,73.61,1,yes,yes,no,valid,,0,4902.67,,,WH3,West,Fedex
14204,917.67,7/1/2024,SKU131,34,Meijer,OSD,36,71.02,0,yes,yes,no,valid,,0,917.67,,,WH1,Southeast,Fedex
14204,78.34,7/1/2024,SKU143,24,Amazon,OSD,27,79.22,0,yes,yes,no,valid,,0,78.34,,,WH4,Southwest,Fedex
14254,1788.2,7/1/2024,SKU146,46,Kroger,OSD,50,17.59,4,yes,yes,no,invalid,unit_of_measurement,1788.2,0,Unit of Measurement,Create a master table to map all SKUs with the unit of measurement and educate the customer to follow the table for orders and deductions,WH1,Southwest,Fedex
14731,4440.77,7/1/2024,SKU122,14,Supervalu,OSD,14,10.01,3,yes,yes,no,valid,,0,4440.77,,,WH3,Northwest,Fedex
14731,3882.77,7/1/2024,SKU123,5,Supervalu,OSD,8,41.3,1,yes,yes,no,valid,,0,3882.77,,,WH3,South,Fedex
14731,3708.46,7/1/2024,SKU141,5,Supervalu,OSD,8,97.2,0,yes,yes,no,valid,,0,3708.46,,,WH1,South,Fedex
14731,2662.2,7/1/2024,SKU103,28,Target,OSD,31,35.55,0,yes,yes,no,invalid,pod does not support shortages,2662.2,0,Combined Shipment,Contact the customer and check if they have mixed it with another order.,WH2,West,Fedex
12129,2282.16,7/2/2024,SKU102,47,Meijer,OSD,47,14.22,3,yes,yes,no,valid,,0,2282.16,,,WH2,West,Fedex
12129,845.27,7/2/2024,SKU127,35,Meijer,OSD,40,81.02,1,yes,yes,no,partially invalid,pod supports partial shortages,185.79,659.48,Order Split,Notify the customers if their order is going in multiple shipments in advance to avoid this.,WH2,South,Fedex
12129,1562.31,7/2/2024,SKU130,6,Supervalu,OSD,9,79.61,5,yes,yes,no,invalid,pod does not support shortages,1562.31,0,Order Split,Notify the customers if their order is going in multiple shipments in advance to avoid this.,WH1,Northeast,Fedex
12728,1301.32,7/2/2024,SKU107,9,Amazon,OSD,14,53.22,1,yes,yes,no,partially invalid,pod supports partial shortages,138.67,1162.65,Unit of Measurement,Create a master table to map all SKUs with the unit of measurement and educate the customer to follow the table for orders and deductions,WH3,Southwest,Fedex
12728,966.29,7/2/2024,SKU103,41,Walmart,OSD,44,96.6,4,yes,yes,no,partially invalid,pod supports partial shortages,385.16,581.13,Unit of Measurement,Create a master table to map all SKUs with the unit of measurement and educate the customer to follow the table for orders and deductions,WH4,Northwest,Fedex
12728,2683.08,7/2/2024,SKU120,19,Meijer,OSD,21,18.53,2,yes,yes,no,partially invalid,pod supports partial shortages,1943.84,739.24,Load Sequencing,Contact the warehouse and they need to fix the issue with the carrier,WH1,Northwest,Fedex
12728,3165.95,7/2/2024,SKU124,19,Kroger,OSD,23,43.84,1,yes,yes,no,partially invalid,pod supports partial shortages,1356.48,1809.47,Load Sequencing,Contact the warehouse and they need to fix the issue with the carrier,WH4,Midwest,Fedex
12728,546.53,7/2/2024,SKU112,45,BJ's,OSD,46,55.89,5,yes,yes,no,valid,,0,546.53,,,WH3,Midwest,Fedex
13710,2503.3,7/2/2024,SKU115,8,BJ's,OSD,8,35.36,5,yes,yes,no,valid,,0,2503.3,,,WH2,Southwest,Fedex
13816,1080.16,7/2/2024,SKU149,14,Target,OSD,16,89.3,5,yes,yes,no,valid,,0,1080.16,,,WH3,West,Fedex
13816,1901.83,7/2/2024,SKU105,49,Supervalu,OSD,54,11.46,3,yes,yes,no,invalid,pod does not support shortages,1901.83,0,Price Mismatch,Could be a gross vs net issue. Educate the customer to take deduction on net price,WH1,West,Fedex
13816,4957.71,7/2/2024,SKU141,10,BJ's,OSD,14,42.77,2,yes,yes,no,partially invalid,pod supports partial shortages,4193.6,764.11,Product Substitution,Work with sales team to communicate for new sku or substitution policy if original sku is not in stock,WH1,East,Fedex
13816,1597.55,7/2/2024,SKU118,42,Meijer,OSD,46,10.37,2,yes,yes,no,invalid,unit_of_measurement,1597.55,0,Unit of Measurement,Create a master table to map all SKUs with the unit of measurement and educate the customer to follow the table for orders and deductions,WH3,Southeast,Fedex
13816,4678.55,7/2/2024,SKU142,45,BJ's,OSD,46,68.78,2,yes,yes,no,invalid,pod does not support shortages,4678.55,0,Combined Shipment,Contact the customer and check if they have mixed it with another order.,WH4,East,Fedex
13816,344.07,7/2/2024,SKU118,36,Kroger,OSD,38,69.2,4,yes,yes,no,valid,,0,344.07,,,WH2,West,Fedex
14566,4108.93,7/2/2024,SKU136,41,Meijer,OSD,42,74.49,4,yes,yes,no,partially invalid,pod supports partial shortages,2422.24,1686.69,Combined Shipment,Contact the customer and check if they have mixed it with another order.,WH3,Northwest,Fedex
10296,130.78,7/3/2024,SKU140,8,Target,OSD,10,72.9,2,yes,yes,no,invalid,pod does not support shortages,130.78,0,Product Substitution,Work with sales team to communicate for new sku or substitution policy if original sku is not in stock,WH3,South,Fedex
10602,4901.32,7/3/2024,SKU118,15,Dollar General,OSD,16,36.45,2,yes,yes,no,valid,,0,4901.32,,,WH3,Midwest,Fedex
10602,1569.51,7/3/2024,SKU124,2,Dollar General,OSD,7,44.06,0,yes,yes,no,partially invalid,pod supports partial shortages,884.48,685.03,Unit of Measurement,Create a master table to map all SKUs with the unit of measurement and educate the customer to follow the table for orders and deductions,WH2,Southeast,Fedex
10602,4171.86,7/3/2024,SKU130,40,BJ's,OSD,44,64.5,1,yes,yes,no,valid,,0,4171.86,,,WH2,Northeast,Fedex
10602,2362.66,7/3/2024,SKU102,18,Costco,OSD,21,45.5,2,yes,yes,no,partially invalid,pod supports partial shortages,585.46,1777.2,Order Split,Notify the customers if their order is going in multiple shipments in advance to avoid this.,WH2,Northwest,Fedex
10602,3136.54,7/3/2024,SKU105,38,Amazon,OSD,43,64.17,3,yes,yes,no,valid,,0,3136.54,,,WH2,Northwest,Fedex
10744,1031.01,7/3/2024,SKU129,33,Costco,OSD,37,38.77,3,yes,yes,no,partially invalid,pod supports partial shortages,270.35,760.66,Combined Shipment,Contact the customer and check if they have mixed it with another order.,WH2,Northeast,Fedex
10744,507.35,7/3/2024,SKU111,14,Walmart,OSD,19,26.05,1,yes,yes,no,invalid,pod does not support shortages,507.35,0,Order Split,Notify the customers if their order is going in multiple shipments in advance to avoid this.,WH3,South,Fedex
10744,2533.2,7/3/2024,SKU110,31,Dollar General,OSD,33,18.75,3,yes,yes,no,valid,,0,2533.2,,,WH4,South,Fedex
10744,4543.44,7/3/2024,SKU123,49,Target,OSD,53,33.36,3,yes,yes,no,partially invalid,pod supports partial shortages,1450.44,3093,Price Mismatch,Could be a gross vs net issue. Educate the customer to take deduction on net price,WH4,East,Fedex
10744,4393.28,7/3/2024,SKU144,19,Meijer,OSD,23,84.95,2,yes,yes,no,partially invalid,pod supports partial shortages,3079.77,1313.51,Load Sequencing,Contact the warehouse and they need to fix the issue with the carrier,WH2,Northwest,Fedex
10970,572.35,7/3/2024,SKU125,25,Dollar General,OSD,30,55.08,5,yes,yes,no,partially invalid,pod supports partial shortages,369.43,202.92,Combined Shipment,Contact the customer and check if they have mixed it with another order.,WH4,South,Fedex
10970,1885.57,7/3/2024,SKU142,30,Kroger,OSD,35,81.66,3,yes,yes,no,invalid,pod does not support shortages,1885.57,0,Load Sequencing,Contact the warehouse and they need to fix the issue with the carrier,WH3,Northeast,Fedex
11011,1163.1,7/3/2024,SKU116,42,Target,OSD,45,81.72,4,yes,yes,no,valid,,0,1163.1,,,WH1,West,Fedex
11011,1817.74,7/3/2024,SKU114,45,Walmart,OSD,48,18.45,0,yes,yes,no,valid,,0,1817.74,,,WH4,Southeast,Fedex
11011,920.6,7/3/2024,SKU115,41,Meijer,OSD,41,40.07,0,yes,yes,no,invalid,pod does not support shortages,920.6,0,Product Substitution,Work with sales team to communicate for new sku or substitution policy if original sku is not in stock,WH2,West,Fedex
11011,3923,7/3/2024,SKU102,12,Dollar General,OSD,13,65.54,3,yes,yes,no,invalid,pod does not support shortages,3923,0,Load Sequencing,Contact the warehouse and they need to fix the issue with the carrier,WH4,East,Fedex
11011,1223.98,7/3/2024,SKU144,30,Amazon,OSD,34,57.37,0,yes,yes,no,invalid,pod does not support shortages,1223.98,0,Order Split,Notify the customers if their order is going in multiple shipments in advance to avoid this.,WH2,Northwest,Fedex
11011,4486.77,7/3/2024,SKU134,9,Amazon,OSD,14,19.03,3,yes,yes,no,valid,,0,4486.77,,,WH1,Northwest,Fedex
11491,3137,7/3/2024,SKU110,31,Costco,OSD,31,86.64,1,yes,yes,no,partially invalid,pod supports partial shortages,1708.79,1428.21,Price Mismatch,Could be a gross vs net issue. Educate the customer to take deduction on net price,WH1,Southwest,Fedex
11491,1842.85,7/3/2024,SKU106,48,BJ's,OSD,50,29.68,3,yes,yes,no,valid,,0,1842.85,,,WH3,West,Fedex
11491,479.32,7/3/2024,SKU102,26,Walmart,OSD,26,82.96,2,yes,yes,no,invalid,pod does not support shortages,479.32,0,Price Mismatch,Could be a gross vs net issue. Educate the customer to take deduction on net price,WH2,South,Fedex
11515,2105.34,7/3/2024,SKU102,33,Target,OSD,37,56,2,yes,yes,no,partially invalid,pod supports partial shortages,217.6,1887.74,Price Mismatch,Could be a gross vs net issue. Educate the customer to take deduction on net price,WH2,South,Fedex
11515,1708.09,7/3/2024,SKU122,44,BJ's,OSD,46,13.35,5,yes,yes,no,partially invalid,pod supports partial shortages,554.21,1153.88,Product Substitution,Work with sales team to communicate for new sku or substitution policy if original sku is not in stock,WH3,South,Fedex
11515,406.34,7/3/2024,SKU148,44,Meijer,OSD,48,71,0,yes,yes,no,valid,,0,406.34,,,WH1,South,Fedex
11515,3588.6,7/3/2024,SKU116,48,Walmart,OSD,53,51.22,3,yes,yes,no,invalid,unit_of_measurement,3588.6,0,Unit of Measurement,Create a master table to map all SKUs with the unit of measurement and educate the customer to follow the table for orders and deductions,WH4,Midwest,Fedex
11515,1571.81,7/3/2024,SKU122,32,Amazon,OSD,36,48.66,4,yes,yes,no,valid,,0,1571.81,,,WH3,West,Fedex
11802,3104.54,7/3/2024,SKU117,25,Supervalu,OSD,27,53.78,3,yes,yes,no,invalid,pod does not support shortages,3104.54,0,Load Sequencing,Contact the warehouse and they need to fix the issue with the carrier,WH4,Northwest,Fedex
11802,4863.15,7/3/2024,SKU145,11,Meijer,OSD,12,25.78,0,yes,yes,no,invalid,unit_of_measurement,4863.15,0,Unit of Measurement,Create a master table to map all SKUs with the unit of measurement and educate the customer to follow the table for orders and deductions,WH4,East,Fedex
12700,3164.34,7/3/2024,SKU141,3,Walmart,OSD,4,13.05,5,yes,yes,no,invalid,pod does not support shortages,3164.34,0,Load Sequencing,Contact the warehouse and they need to fix the issue with the carrier,WH3,Northeast,Fedex
12700,1787.89,7/3/2024,SKU113,36,Walmart,OSD,40,45.22,5,yes,yes,no,valid,,0,1787.89,,,WH2,Midwest,Fedex
12700,809.03,7/3/2024,SKU108,42,Meijer,OSD,42,39.68,5,yes,yes,no,invalid,pod does not support shortages,809.03,0,Load Sequencing,Contact the warehouse and they need to fix the issue with the carrier,WH4,East,Fedex
13055,2433.56,7/3/2024,SKU139,17,Amazon,OSD,18,68.28,4,yes,yes,no,partially invalid,pod supports partial shortages,1145.59,1287.97,Combined Shipment,Contact the customer and check if they have mixed it with another order.,WH4,East,Fedex
13055,1709.77,7/3/2024,SKU114,34,Kroger,OSD,37,79.8,4,yes,yes,no,partially invalid,pod supports partial shortages,644.65,1065.12,Unit of Measurement,Create a master table to map all SKUs with the unit of measurement and educate the customer to follow the table for orders and deductions,WH4,East,Fedex
13055,3012.03,7/3/2024,SKU109,34,BJ's,OSD,35,51.24,5,yes,yes,no,invalid,pod does not support shortages,3012.03,0,Load Sequencing,Contact the warehouse and they need to fix the issue with the carrier,WH4,East,Fedex
13055,3921.79,7/3/2024,SKU133,2,Amazon,OSD,7,73.87,5,yes,yes,no,valid,,0,3921.79,,,WH4,South,Fedex
13188,1947.73,7/3/2024,SKU103,49,Dollar General,OSD,50,86.4,2,yes,yes,no,valid,,0,1947.73,,,WH2,Midwest,Fedex
13188,1516.09,7/3/2024,SKU124,42,Amazon,OSD,46,35.27,2,yes,yes,no,valid,,0,1516.09,,,WH1,Northeast,Fedex
13188,101.3,7/3/2024,SKU141,3,Meijer,OSD,4,42.41,2,yes,yes,no,partially invalid,pod supports partial shortages,61.27,40.03,Unit of Measurement,Create a master table to map all SKUs with the unit of measurement and educate the customer to follow the table for orders and deductions,WH4,Southeast,Fedex
13188,4548.91,7/3/2024,SKU134,13,Amazon,OSD,16,51.96,1,yes,yes,no,partially invalid,pod supports partial shortages,2799.09,1749.82,Product Substitution,Work with sales team to communicate for new sku or substitution policy if original sku is not in stock,WH3,West,Fedex
13188,333.77,7/3/2024,SKU150,2,Amazon,OSD,2,49.75,1,yes,yes,no,valid,,0,333.77,,,WH1,Northwest,Fedex
13188,991.65,7/3/2024,SKU123,13,Amazon,OSD,17,96.89,2,yes,yes,no,partially invalid,pod supports partial shortages,710.58,281.07,Order Split,Notify the customers if their order is going in multiple shipments in advance to avoid this.,WH1,Southwest,Fedex
13301,2803.57,7/3/2024,SKU118,30,Costco,OSD,34,56.03,0,yes,yes,no,invalid,unit_of_measurement,2803.57,0,Unit of Measurement,Create a master table to map all SKUs with the unit of measurement and educate the customer to follow the table for orders and deductions,WH2,Southeast,Fedex
13301,1664.07,7/3/2024,SKU112,44,BJ's,OSD,49,19.01,4,yes,yes,no,valid,,0,1664.07,,,WH1,Midwest,Fedex
13301,2042.4,7/3/2024,SKU117,24,Meijer,OSD,29,69.77,2,yes,yes,no,valid,,0,2042.4,,,WH4,East,Fedex
13301,649.51,7/3/2024,SKU120,20,Costco,OSD,20,98.1,5,yes,yes,no,partially invalid,pod supports partial shortages,230.39,419.12,Product Substitution,Work with sales team to communicate for new sku or substitution policy if original sku is not in stock,WH1,Northeast,Fedex
13301,3610.37,7/3/2024,SKU141,32,Costco,OSD,34,35.91,1,yes,yes,no,invalid,pod does not support shortages,3610.37,0,Product Substitution,Work with sales team to communicate for new sku or substitution policy if original sku is not in stock,WH1,Southeast,Fedex
13301,2640.22,7/3/2024,SKU107,4,Kroger,OSD,5,13.92,1,yes,yes,no,partially invalid,pod supports partial shortages,1601.97,1038.25,Price Mismatch,Could be a gross vs net issue. Educate the customer to take deduction on net price,WH4,Northeast,Fedex
13301,3593.83,7/3/2024,SKU111,11,BJ's,OSD,12,88.06,2,yes,yes,no,partially invalid,pod supports partial shortages,1926.05,1667.78,Product Substitution,Work with sales team to communicate for new sku or substitution policy if original sku is not in stock,WH4,Northeast,Fedex
14372,58.59,7/3/2024,SKU126,48,BJ's,OSD,51,90.77,5,yes,yes,no,partially invalid,pod supports partial shortages,7.91,50.68,Order Split,Notify the customers if their order is going in multiple shipments in advance to avoid this.,WH2,Northwest,Fedex
14372,2735.32,7/3/2024,SKU125,25,Walmart,OSD,25,82.6,1,yes,yes,no,valid,,0,2735.32,,,WH1,South,Fedex
14372,2798.17,7/3/2024,SKU142,39,Kroger,OSD,42,82.8,5,yes,yes,no,valid,,0,2798.17,,,WH4,Northeast,Fedex
14372,3289.32,7/3/2024,SKU140,31,Costco,OSD,31,40.18,0,yes,yes,no,valid,,0,3289.32,,,WH3,South,Fedex
14827,2388.69,7/3/2024,SKU106,41,Target,OSD,43,26.95,1,yes,yes,no,valid,,0,2388.69,,,WH1,Northeast,Fedex
14827,1853.61,7/3/2024,SKU132,46,Kroger,OSD,50,91.36,5,yes,yes,no,partially invalid,pod supports partial shortages,1145.68,707.93,Price Mismatch,Could be a gross vs net issue. Educate the customer to take deduction on net price,WH3,East,Fedex
14827,2982,7/3/2024,SKU149,24,BJ's,OSD,26,81.34,5,yes,yes,no,valid,,0,2982,,,WH3,Southeast,Fedex
14827,4004.06,7/3/2024,SKU122,41,Supervalu,OSD,41,66.27,0,yes,yes,no,partially invalid,pod supports partial shortages,632.61,3371.45,Unit of Measurement,Create a master table to map all SKUs with the unit of measurement and educate the customer to follow the table for orders and deductions,WH2,West,Fedex
14827,153.74,7/3/2024,SKU137,36,Kroger,OSD,40,64.05,4,yes,yes,no,invalid,pod does not support shortages,153.74,0,Load Sequencing,Contact the warehouse and they need to fix the issue with the carrier,WH4,Northeast,Fedex
14827,2012.6,7/3/2024,SKU141,11,Supervalu,OSD,11,24.49,5,yes,yes,no,partially invalid,pod supports partial shortages,645.72,1366.88,Unit of Measurement,Create a master table to map all SKUs with the unit of measurement and educate the customer to follow the table for orders and deductions,WH2,Midwest,Fedex
10350,2269.28,7/4/2024,SKU112,33,Walmart,OSD,38,66.63,2,yes,yes,no,valid,,0,2269.28,,,WH3,Northeast,Fedex
10350,2517.91,7/4/2024,SKU137,27,Meijer,OSD,30,48.91,0,yes,yes,no,valid,,0,2517.91,,,WH2,Northeast,Fedex
10350,4247.29,7/4/2024,SKU111,18,Amazon,OSD,21,16.7,0,yes,yes,no,invalid,unit_of_measurement,4247.29,0,Unit of Measurement,Create a master table to map all SKUs with the unit of measurement and educate the customer to follow the table for orders and deductions,WH1,Southeast,Fedex
10350,1333.01,7/4/2024,SKU111,43,Walmart,OSD,43,72.95,5,yes,yes,no,partially invalid,pod supports partial shortages,731.78,601.23,Order Split,Notify the customers if their order is going in multiple shipments in advance to avoid this.,WH1,Northeast,Fedex
10350,4534.06,7/4/2024,SKU107,24,Kroger,OSD,24,21.62,3,yes,yes,no,valid,,0,4534.06,,,WH3,Northwest,Fedex
11938,2354.62,7/4/2024,SKU125,32,Kroger,OSD,34,10.68,2,yes,yes,no,invalid,pod does not support shortages,2354.62,0,Combined Shipment,Contact the customer and check if they have mixed it with another order.,WH1,West,Fedex
11938,4821.4,7/4/2024,SKU146,43,Costco,OSD,44,52.66,2,yes,yes,no,invalid,pod does not support shortages,4821.4,0,Price Mismatch,Could be a gross vs net issue. Educate the customer to take deduction on net price,WH4,Northwest,Fedex
11938,1394.66,7/4/2024,SKU126,23,Kroger,OSD,28,34.11,2,yes,yes,no,invalid,pod does not support shortages,1394.66,0,Combined Shipment,Contact the customer and check if they have mixed it with another order.,WH1,Northwest,Fedex
11957,106.6,7/4/2024,SKU115,42,Costco,OSD,42,11.46,4,yes,yes,no,valid,,0,106.6,,,WH4,Southwest,Fedex
11957,3219.17,7/4/2024,SKU115,44,Amazon,OSD,46,29.24,1,yes,yes,no,partially invalid,pod supports partial shortages,929.7,2289.47,Unit of Measurement,Create a master table to map all SKUs with the unit of measurement and educate the customer to follow the table for orders and deductions,WH4,South,Fedex
11957,3267.11,7/4/2024,SKU116,10,Target,OSD,12,11.12,0,yes,yes,no,invalid,pod does not support shortages,3267.11,0,Price Mismatch,Could be a gross vs net issue. Educate the customer to take deduction on net price,WH3,Northeast,Fedex
11957,4146.3,7/4/2024,SKU125,17,Supervalu,OSD,19,74.33,0,yes,yes,no,partially invalid,pod supports partial shortages,1213,2933.3,Product Substitution,Work with sales team to communicate for new sku or substitution policy if original sku is not in stock,WH2,South,Fedex
11957,4406.54,7/4/2024,SKU126,18,Dollar General,OSD,21,73.98,0,yes,yes,no,partially invalid,pod supports partial shortages,1575.19,2831.35,Price Mismatch,Could be a gross vs net issue. Educate the customer to take deduction on net price,WH1,West,Fedex
11957,2185.93,7/4/2024,SKU148,41,Dollar General,OSD,43,40.27,1,yes,yes,no,partially invalid,pod supports partial shortages,1416.99,768.94,Product Substitution,Work with sales team to communicate for new sku or substitution policy if original sku is not in stock,WH3,South,Fedex
11957,1293.02,7/4/2024,SKU121,15,Dollar General,OSD,17,42.06,3,yes,yes,no,partially invalid,pod supports partial shortages,514.57,778.45,Load Sequencing,Contact the warehouse and they need to fix the issue with the carrier,WH2,Northwest,Fedex
12045,2080.86,7/4/2024,SKU103,31,Walmart,OSD,31,69.15,2,yes,yes,no,invalid,pod does not support shortages,2080.86,0,Product Substitution,Work with sales team to communicate for new sku or substitution policy if original sku is not in stock,WH1,Southwest,Fedex
12045,1887.5,7/4/2024,SKU150,5,Target,OSD,6,80.99,4,yes,yes,no,valid,,0,1887.5,,,WH1,Southwest,Fedex
12194,3033.16,7/4/2024,SKU150,48,Costco,OSD,53,24.24,3,yes,yes,no,invalid,pod does not support shortages,3033.16,0,Price Mismatch,Could be a gross vs net issue. Educate the customer to take deduction on net price,WH2,Midwest,Fedex
12194,1440.97,7/4/2024,SKU118,16,Meijer,OSD,20,55.08,5,yes,yes,no,partially invalid,pod supports partial shortages,1077.4,363.57,Load Sequencing,Contact the warehouse and they need to fix the issue with the carrier,WH2,Midwest,Fedex
