invoice_number,deduction_amount,deduction_date,sku,deducted_qty,standard_customer,deduction_reason,billed_qty,net_price_per_qty,pod_shortage,customer_sign,carrier_sign,subject_to_count,validation_status,invalid_reason,invalid_amount,valid_amount,RCA,warehouse,region
12333,1967.95,7/25/2024,SKU101,42,Dollar General,OSD,47,33.63,1,yes,yes,no,invalid,combined shipment,1967.95,0,Combined Shipment,WH1,Northwest
12569,3399.75,9/10/2024,SKU135,49,Costco,OSD,50,34.87,5,yes,yes,no,invalid,price mismatch,3399.75,0,Price Mismatch,WH1,Northeast
12534,1665.66,4/11/2025,SKU135,50,BJ's,OSD,50,49.13,0,yes,yes,no,valid,,0,1665.66,,WH3,South
12630,2311.24,5/26/2025,SKU102,46,Walmart,OSD,46,76.04,2,yes,yes,no,valid,,0,2311.24,,WH2,Midwest
12339,938.98,3/4/2025,SKU102,30,Target,OSD,30,59.55,3,yes,yes,no,invalid,price mismatch,938.98,0,Price Mismatch,WH3,East
10446,4050.37,12/13/2024,SKU109,28,Kroger,OSD,32,86.98,3,yes,yes,no,partially invalid,product substitution,735.88,3314.49,Product Substitution,WH1,Northeast
14233,4735.67,1/24/2025,SKU133,6,Walmart,OSD,8,75.81,1,yes,yes,no,partially invalid,load sequencing,3835.98,899.69,Load Sequencing,WH1,South
12946,1335.18,7/22/2024,SKU100,6,Target,OSD,7,68.27,5,yes,yes,no,valid,,0,1335.18,,WH2,Northwest
11050,624.14,2/24/2025,SKU125,10,Dollar General,OSD,11,41.12,5,yes,yes,no,partially invalid,product substitution,243.68,380.46,Product Substitution,WH4,Northeast
12050,2166.98,9/3/2024,SKU120,47,Costco,OSD,52,39.21,2,yes,yes,no,invalid,order split,2166.98,0,Order Split,WH4,South
10533,1649.97,3/2/2025,SKU134,15,Meijer,OSD,19,96.67,3,yes,yes,no,partially invalid,unit_of_measurement,1353.11,296.86,Unit of Measurement,WH2,West
12583,2895.47,6/10/2025,SKU130,36,Walmart,OSD,37,71.77,4,yes,yes,no,valid,,0,2895.47,,WH1,West
11395,2602.32,5/10/2025,SKU100,16,BJ's,OSD,16,10.06,3,yes,yes,no,valid,,0,2602.32,,WH4,East
11896,300.11,1/5/2025,SKU143,2,Dollar General,OSD,4,46.25,0,yes,yes,no,invalid,price mismatch,300.11,0,Price Mismatch,WH1,Southeast
13733,3921.15,4/7/2025,SKU140,34,Target,OSD,34,17.31,3,yes,yes,no,partially invalid,product substitution,1830.08,2091.07,Product Substitution,WH2,Northwest
13307,1764.69,10/29/2024,SKU107,42,BJ's,OSD,43,17.4,0,yes,yes,no,valid,,0,1764.69,,WH4,West
10978,4097.57,1/7/2025,SKU127,31,Dollar General,OSD,32,44.05,5,yes,yes,no,valid,,0,4097.57,,WH1,Northeast
12760,3092.69,3/4/2025,SKU116,41,Amazon,OSD,41,80.09,5,yes,yes,no,partially invalid,combined shipment,2625.77,466.92,Combined Shipment,WH1,West
10516,3562.27,8/19/2024,SKU123,36,Target,OSD,40,32,5,yes,yes,no,partially invalid,unit_of_measurement,2441.19,1121.08,Unit of Measurement,WH1,Midwest
10158,1609.4,10/31/2024,SKU136,43,Costco,OSD,43,66.41,0,yes,yes,no,invalid,order split,1609.4,0,Order Split,WH4,South
13503,1068.99,2/14/2025,SKU115,34,Supervalu,OSD,38,95.21,0,yes,yes,no,partially invalid,order split,150.43,918.56,Order Split,WH4,Northeast
14526,1660.26,11/24/2024,SKU131,46,Dollar General,OSD,51,92.57,3,yes,yes,no,partially invalid,load sequencing,1035.93,624.33,Load Sequencing,WH3,West
10415,2756.29,1/16/2025,SKU143,35,Amazon,OSD,40,46.7,3,yes,yes,no,invalid,order split,2756.29,0,Order Split,WH3,West
12530,2723.33,5/27/2025,SKU146,39,Kroger,OSD,43,17.41,3,yes,yes,no,invalid,order split,2723.33,0,Order Split,WH4,Southwest
14163,4534.39,10/31/2024,SKU122,37,Supervalu,OSD,40,46.89,5,yes,yes,no,valid,,0,4534.39,,WH4,Midwest
13697,197.58,9/9/2024,SKU123,34,Walmart,OSD,39,63.46,1,yes,yes,no,partially invalid,combined shipment,104.34,93.24,Combined Shipment,WH3,South
14540,4875.55,5/30/2025,SKU141,8,Dollar General,OSD,11,99.43,3,yes,yes,no,invalid,order split,4875.55,0,Order Split,WH1,South
12137,4896.68,3/11/2025,SKU103,39,Amazon,OSD,42,36.92,1,yes,yes,no,invalid,price mismatch,4896.68,0,Price Mismatch,WH1,Southwest
12838,1702.19,8/27/2024,SKU102,23,Costco,OSD,27,37.8,2,yes,yes,no,partially invalid,unit_of_measurement,1128.37,573.82,Unit of Measurement,WH4,Southeast
14901,2736.78,5/28/2025,SKU127,15,Target,OSD,18,50.71,3,yes,yes,no,valid,,0,2736.78,,WH3,Northwest
10940,765.83,11/17/2024,SKU130,16,Costco,OSD,18,21.08,2,yes,yes,no,valid,,0,765.83,,WH1,Midwest
14319,3004.91,10/10/2024,SKU107,41,Dollar General,OSD,43,41.77,0,yes,yes,no,partially invalid,combined shipment,2471.78,533.13,Combined Shipment,WH2,Southeast
12854,2897.43,2/10/2025,SKU103,45,Costco,OSD,49,97.86,2,yes,yes,no,invalid,unit_of_measurement,2897.43,0,Unit of Measurement,WH1,Southeast
13375,529.67,7/6/2024,SKU120,31,Supervalu,OSD,34,60.8,4,yes,yes,no,partially invalid,product substitution,461.57,68.1,Product Substitution,WH2,West
11306,4752.68,3/30/2025,SKU124,5,Walmart,OSD,6,53.83,3,yes,yes,no,invalid,combined shipment,4752.68,0,Combined Shipment,WH2,Northwest
12429,2971.87,11/23/2024,SKU112,48,Kroger,OSD,51,88.06,3,yes,yes,no,partially invalid,load sequencing,1201.13,1770.74,Load Sequencing,WH3,Midwest
11503,4323.59,5/7/2025,SKU115,26,BJ's,OSD,26,43.99,3,yes,yes,no,valid,,0,4323.59,,WH2,East
13969,1844.06,11/27/2024,SKU149,5,Dollar General,OSD,10,96.84,1,yes,yes,no,invalid,combined shipment,1844.06,0,Combined Shipment,WH1,Midwest
13177,2594.78,6/9/2025,SKU105,32,BJ's,OSD,36,37.25,4,yes,yes,no,valid,,0,2594.78,,WH3,South
14401,1268.74,7/17/2024,SKU141,20,Amazon,OSD,22,24.99,2,yes,yes,no,partially invalid,product substitution,802.1,466.64,Product Substitution,WH4,West
10017,3874.67,10/11/2024,SKU118,47,BJ's,OSD,47,83.42,5,yes,yes,no,invalid,combined shipment,3874.67,0,Combined Shipment,WH1,Midwest
10178,1494.28,12/6/2024,SKU142,37,Meijer,OSD,39,49.21,1,yes,yes,no,valid,,0,1494.28,,WH1,Midwest
10179,2677.99,2/8/2025,SKU118,10,BJ's,OSD,12,75.3,2,yes,yes,no,valid,,0,2677.99,,WH1,Northeast
10915,599.47,10/8/2024,SKU136,44,Supervalu,OSD,47,72.59,5,yes,yes,no,valid,,0,599.47,,WH1,South
14798,66.54,12/23/2024,SKU140,24,Costco,OSD,24,45.2,0,yes,yes,no,partially invalid,unit_of_measurement,17.63,48.91,Unit of Measurement,WH1,Southwest
11882,3707.1,2/19/2025,SKU118,11,Amazon,OSD,12,98.99,1,yes,yes,no,valid,,0,3707.1,,WH3,East
10488,1024.53,12/16/2024,SKU124,13,BJ's,OSD,17,49.2,1,yes,yes,no,invalid,combined shipment,1024.53,0,Combined Shipment,WH1,Northwest
13751,2657.67,8/16/2024,SKU130,2,BJ's,OSD,2,98.69,4,yes,yes,no,invalid,order split,2657.67,0,Order Split,WH3,Northwest
12305,4227.2,7/1/2024,SKU102,14,Kroger,OSD,18,14.16,5,yes,yes,no,partially invalid,product substitution,2524.88,1702.32,Product Substitution,WH4,South
10502,2038.2,5/4/2025,SKU105,23,Meijer,OSD,28,92.83,0,yes,yes,no,valid,,0,2038.2,,WH3,West
12617,2834.64,1/20/2025,SKU129,19,Dollar General,OSD,24,83.41,4,yes,yes,no,valid,,0,2834.64,,WH1,East
12299,1911.42,6/3/2025,SKU111,41,Amazon,OSD,43,69.92,3,yes,yes,no,partially invalid,load sequencing,1198.53,712.89,Load Sequencing,WH3,East
12763,1911.67,7/9/2024,SKU110,11,Target,OSD,15,86.93,2,yes,yes,no,partially invalid,price mismatch,784.6,1127.07,Price Mismatch,WH4,Midwest
14542,1306.02,11/30/2024,SKU123,50,Amazon,OSD,54,30.98,0,yes,yes,no,invalid,unit_of_measurement,1306.02,0,Unit of Measurement,WH3,Southeast
11484,3306.98,9/22/2024,SKU144,28,Kroger,OSD,28,90.71,2,yes,yes,no,invalid,load sequencing,3306.98,0,Load Sequencing,WH4,East
12112,468.6,5/17/2025,SKU125,14,Costco,OSD,16,21.98,4,yes,yes,no,invalid,load sequencing,468.6,0,Load Sequencing,WH3,Southwest
11035,1713.18,11/15/2024,SKU142,49,Kroger,OSD,54,11.98,5,yes,yes,no,invalid,combined shipment,1713.18,0,Combined Shipment,WH3,Southeast
11548,2449.29,12/23/2024,SKU116,9,Target,OSD,10,45.64,0,yes,yes,no,valid,,0,2449.29,,WH3,Southwest
13961,341.52,1/19/2025,SKU114,9,Kroger,OSD,11,13.19,0,yes,yes,no,partially invalid,load sequencing,50.64,290.88,Load Sequencing,WH2,Southeast
13507,3918.58,1/4/2025,SKU115,38,Amazon,OSD,39,18.51,5,yes,yes,no,partially invalid,price mismatch,2927.94,990.64,Price Mismatch,WH2,West
12757,1486.73,10/3/2024,SKU102,21,Costco,OSD,21,76.02,5,yes,yes,no,invalid,order split,1486.73,0,Order Split,WH3,Southeast
11747,2677.07,8/12/2024,SKU144,21,Walmart,OSD,25,87.55,1,yes,yes,no,invalid,load sequencing,2677.07,0,Load Sequencing,WH4,Southwest
12240,4830.57,12/26/2024,SKU134,6,Walmart,OSD,10,56.71,3,yes,yes,no,valid,,0,4830.57,,WH2,Northwest
12364,209.05,6/4/2025,SKU110,42,Supervalu,OSD,43,33.07,2,yes,yes,no,invalid,order split,209.05,0,Order Split,WH1,Midwest
11896,4206.68,1/5/2025,SKU106,11,Meijer,OSD,15,14.74,1,yes,yes,no,valid,,0,4206.68,,WH3,Northeast
13274,4887.32,10/24/2024,SKU102,46,Supervalu,OSD,47,15.38,4,yes,yes,no,valid,,0,4887.32,,WH4,Southwest
14895,2287.71,9/25/2024,SKU102,14,Dollar General,OSD,14,12.23,4,yes,yes,no,valid,,0,2287.71,,WH3,Southwest
14702,364.88,10/21/2024,SKU122,42,Kroger,OSD,44,44.54,5,yes,yes,no,valid,,0,364.88,,WH4,West
12725,395.94,11/21/2024,SKU148,7,Target,OSD,10,12.57,5,yes,yes,no,invalid,load sequencing,395.94,0,Load Sequencing,WH4,West
12138,4062.92,6/20/2025,SKU116,27,Meijer,OSD,32,58.76,0,yes,yes,no,valid,,0,4062.92,,WH1,West
12985,2800.88,8/9/2024,SKU122,22,Supervalu,OSD,23,64.12,1,yes,yes,no,invalid,product substitution,2800.88,0,Product Substitution,WH3,East
10354,3885.86,8/6/2024,SKU117,34,Supervalu,OSD,38,79.87,4,yes,yes,no,partially invalid,price mismatch,2530.57,1355.29,Price Mismatch,WH3,East
10146,3126.75,10/4/2024,SKU145,18,Costco,OSD,19,75.2,2,yes,yes,no,partially invalid,unit_of_measurement,2327.32,799.43,Unit of Measurement,WH3,Northeast
10162,2863.07,1/16/2025,SKU141,4,Costco,OSD,8,11.67,5,yes,yes,no,partially invalid,product substitution,826.39,2036.68,Product Substitution,WH2,East
12661,1739.43,9/27/2024,SKU113,42,Amazon,OSD,46,43.1,0,yes,yes,no,invalid,price mismatch,1739.43,0,Price Mismatch,WH3,Southeast
11298,4246.52,6/12/2025,SKU108,33,Meijer,OSD,33,46.46,2,yes,yes,no,partially invalid,unit_of_measurement,1735.47,2511.05,Unit of Measurement,WH3,Midwest
13820,3613.66,6/29/2025,SKU139,14,BJ's,OSD,19,72.81,4,yes,yes,no,partially invalid,unit_of_measurement,2390.2,1223.46,Unit of Measurement,WH1,Southeast
13336,2730.14,3/3/2025,SKU114,47,Meijer,OSD,47,88.17,3,yes,yes,no,valid,,0,2730.14,,WH1,East
13262,362.76,4/9/2025,SKU109,24,Target,OSD,24,71.68,0,yes,yes,no,valid,,0,362.76,,WH3,Northeast
14828,2565.22,7/15/2024,SKU133,16,Supervalu,OSD,17,43.85,4,yes,yes,no,invalid,load sequencing,2565.22,0,Load Sequencing,WH3,Northwest
14353,4784.26,5/2/2025,SKU103,27,Supervalu,OSD,32,71.6,4,yes,yes,no,partially invalid,price mismatch,2454.7,2329.56,Price Mismatch,WH3,Midwest
14527,1409.81,6/22/2025,SKU124,50,Dollar General,OSD,54,35.47,5,yes,yes,no,partially invalid,product substitution,678.73,731.08,Product Substitution,WH1,Southeast
11986,1741.94,4/26/2025,SKU141,32,Amazon,OSD,33,98.15,1,yes,yes,no,partially invalid,unit_of_measurement,717.53,1024.41,Unit of Measurement,WH4,South
12371,4428.77,10/5/2024,SKU134,38,Amazon,OSD,41,14.97,2,yes,yes,no,invalid,combined shipment,4428.77,0,Combined Shipment,WH2,Northeast
11374,580.14,12/31/2024,SKU150,41,Meijer,OSD,46,28.39,0,yes,yes,no,valid,,0,580.14,,WH4,West
11470,4981.47,11/27/2024,SKU123,44,Target,OSD,49,73.71,3,yes,yes,no,invalid,load sequencing,4981.47,0,Load Sequencing,WH4,Northeast
14355,4688.66,3/7/2025,SKU118,19,Costco,OSD,23,62.12,3,yes,yes,no,partially invalid,combined shipment,2986.34,1702.32,Combined Shipment,WH2,Southeast
12646,1489.11,5/15/2025,SKU112,6,Kroger,OSD,11,14.9,4,yes,yes,no,valid,,0,1489.11,,WH3,Northeast
10950,3275.19,7/1/2024,SKU117,4,Amazon,OSD,5,33.84,5,yes,yes,no,invalid,combined shipment,3275.19,0,Combined Shipment,WH3,Northeast
13578,3961.03,2/17/2025,SKU120,50,Costco,OSD,50,46.73,5,yes,yes,no,invalid,price mismatch,3961.03,0,Price Mismatch,WH1,Southeast
14249,1765.69,8/30/2024,SKU141,39,Walmart,OSD,44,99.55,3,yes,yes,no,invalid,load sequencing,1765.69,0,Load Sequencing,WH2,East
12088,4577.44,9/11/2024,SKU107,50,Costco,OSD,51,87.06,3,yes,yes,no,partially invalid,product substitution,1524.16,3053.28,Product Substitution,WH2,Southwest
11252,2016.54,10/16/2024,SKU111,28,Target,OSD,29,87.68,5,yes,yes,no,valid,,0,2016.54,,WH3,South
13075,2854.44,1/26/2025,SKU126,44,Costco,OSD,44,38.09,5,yes,yes,no,valid,,0,2854.44,,WH2,East
13576,1774.82,3/10/2025,SKU125,30,Walmart,OSD,35,76.29,3,yes,yes,no,valid,,0,1774.82,,WH3,Midwest
13259,3366.08,11/24/2024,SKU142,24,BJ's,OSD,26,99.4,4,yes,yes,no,valid,,0,3366.08,,WH3,Southwest
12107,1980.07,11/20/2024,SKU140,15,Meijer,OSD,16,27.41,1,yes,yes,no,partially invalid,unit_of_measurement,1476.61,503.46,Unit of Measurement,WH4,Midwest
14835,2286.82,7/5/2024,SKU106,44,Walmart,OSD,46,41.74,1,yes,yes,no,valid,,0,2286.82,,WH2,Southeast
13556,2038.13,12/16/2024,SKU132,3,Target,OSD,3,80.06,4,yes,yes,no,invalid,order split,2038.13,0,Order Split,WH1,Midwest
14478,2678.67,3/16/2025,SKU149,43,Dollar General,OSD,45,89.77,4,yes,yes,no,valid,,0,2678.67,,WH4,Southwest
14117,186.36,1/9/2025,SKU122,42,Amazon,OSD,47,27.28,0,yes,yes,no,valid,,0,186.36,,WH2,Southeast
10658,3748.71,5/10/2025,SKU137,45,Amazon,OSD,48,17.64,2,yes,yes,no,partially invalid,order split,932.79,2815.92,Order Split,WH2,Northeast
11948,2223.74,2/28/2025,SKU141,24,Walmart,OSD,24,21.82,2,yes,yes,no,invalid,load sequencing,2223.74,0,Load Sequencing,WH2,Southwest
10727,440.57,1/13/2025,SKU112,17,Costco,OSD,20,48.1,0,yes,yes,no,valid,,0,440.57,,WH3,West
10319,4181.23,7/23/2024,SKU137,11,Target,OSD,11,95.97,2,yes,yes,no,invalid,price mismatch,4181.23,0,Price Mismatch,WH2,East
13696,2322.6,2/26/2025,SKU111,20,Dollar General,OSD,23,95.26,2,yes,yes,no,valid,,0,2322.6,,WH1,Northwest
10468,2908.4,9/14/2024,SKU111,35,Dollar General,OSD,37,50.25,4,yes,yes,no,partially invalid,load sequencing,337.24,2571.16,Load Sequencing,WH4,Northeast
12590,922.3,11/24/2024,SKU107,26,Dollar General,OSD,27,16.83,5,yes,yes,no,invalid,price mismatch,922.3,0,Price Mismatch,WH3,Midwest
12814,3561.61,4/3/2025,SKU125,34,Dollar General,OSD,38,32.93,4,yes,yes,no,invalid,price mismatch,3561.61,0,Price Mismatch,WH3,Southeast
11844,4928.19,12/4/2024,SKU146,22,Supervalu,OSD,26,53.95,3,yes,yes,no,valid,,0,4928.19,,WH3,South
12653,3479.85,4/5/2025,SKU126,49,BJ's,OSD,54,10.63,1,yes,yes,no,valid,,0,3479.85,,WH4,West
13322,2857.41,10/28/2024,SKU115,4,Supervalu,OSD,6,74.89,3,yes,yes,no,partially invalid,order split,1228.88,1628.53,Order Split,WH4,Northwest
14696,2383.41,2/25/2025,SKU115,28,Supervalu,OSD,28,15.76,4,yes,yes,no,invalid,load sequencing,2383.41,0,Load Sequencing,WH1,Southeast
12398,809.68,6/9/2025,SKU116,4,Meijer,OSD,4,38.93,2,yes,yes,no,partially invalid,load sequencing,693.84,115.84,Load Sequencing,WH2,Southeast
14868,3198.39,10/8/2024,SKU125,25,Supervalu,OSD,29,54.71,5,yes,yes,no,partially invalid,unit_of_measurement,2809.43,388.96,Unit of Measurement,WH1,Midwest
11137,556.85,9/10/2024,SKU126,9,Kroger,OSD,11,78.89,3,yes,yes,no,invalid,price mismatch,556.85,0,Price Mismatch,WH3,Northeast
12587,3650.16,6/22/2025,SKU148,41,BJ's,OSD,44,72.85,3,yes,yes,no,valid,,0,3650.16,,WH3,Southwest
12091,2037.33,5/10/2025,SKU121,40,Costco,OSD,44,45.88,4,yes,yes,no,partially invalid,order split,1395.92,641.41,Order Split,WH3,East
10062,549.32,10/3/2024,SKU103,40,BJ's,OSD,45,91.82,3,yes,yes,no,partially invalid,unit_of_measurement,297.89,251.43,Unit of Measurement,WH1,Southeast
11757,4115.78,10/19/2024,SKU150,11,Amazon,OSD,16,44.86,4,yes,yes,no,invalid,combined shipment,4115.78,0,Combined Shipment,WH1,South
14997,956.36,4/3/2025,SKU150,40,Supervalu,OSD,42,22.72,5,yes,yes,no,invalid,order split,956.36,0,Order Split,WH2,Southeast
14371,3510.42,11/9/2024,SKU118,29,Amazon,OSD,34,44.61,2,yes,yes,no,partially invalid,unit_of_measurement,1504.04,2006.38,Unit of Measurement,WH3,Northeast
13795,93.92,7/28/2024,SKU145,38,Meijer,OSD,38,69.03,0,yes,yes,no,invalid,order split,93.92,0,Order Split,WH2,West
12152,843.81,2/27/2025,SKU130,26,Dollar General,OSD,31,87.16,5,yes,yes,no,valid,,0,843.81,,WH1,Southwest
10734,348.71,12/20/2024,SKU114,19,Kroger,OSD,19,53.88,4,yes,yes,no,partially invalid,unit_of_measurement,268.87,79.84,Unit of Measurement,WH3,Southeast
11423,929.32,6/26/2025,SKU110,19,Meijer,OSD,24,80.31,5,yes,yes,no,invalid,price mismatch,929.32,0,Price Mismatch,WH1,Northeast
11387,1988.87,4/27/2025,SKU115,16,Kroger,OSD,19,46.55,4,yes,yes,no,partially invalid,order split,235.16,1753.71,Order Split,WH1,Midwest
13824,355.46,6/7/2025,SKU105,18,Costco,OSD,19,87.08,0,yes,yes,no,valid,,0,355.46,,WH4,South
11081,4120.09,1/5/2025,SKU138,26,Walmart,OSD,29,18.37,2,yes,yes,no,partially invalid,load sequencing,694.37,3425.72,Load Sequencing,WH3,Southwest
11063,4640.55,11/6/2024,SKU104,28,Supervalu,OSD,30,70.96,4,yes,yes,no,invalid,product substitution,4640.55,0,Product Substitution,WH3,Northeast
13522,1277.44,4/29/2025,SKU108,32,Target,OSD,37,15.2,4,yes,yes,no,invalid,price mismatch,1277.44,0,Price Mismatch,WH3,Northeast
11284,268.75,1/17/2025,SKU118,13,Walmart,OSD,17,99.21,1,yes,yes,no,partially invalid,load sequencing,139.23,129.52,Load Sequencing,WH1,East
10853,2830.72,4/21/2025,SKU124,19,Supervalu,OSD,19,27.54,2,yes,yes,no,partially invalid,combined shipment,2306.94,523.78,Combined Shipment,WH3,Northwest
13198,3699.73,7/13/2024,SKU105,10,Meijer,OSD,11,75.03,5,yes,yes,no,invalid,order split,3699.73,0,Order Split,WH2,Southeast
10878,306.39,5/11/2025,SKU140,36,Meijer,OSD,37,76.61,1,yes,yes,no,valid,,0,306.39,,WH3,South
10918,1782.58,7/10/2024,SKU121,14,Amazon,OSD,16,15.55,0,yes,yes,no,valid,,0,1782.58,,WH3,East
13192,2218.28,2/14/2025,SKU138,50,Walmart,OSD,50,17.09,3,yes,yes,no,partially invalid,load sequencing,1097.85,1120.43,Load Sequencing,WH4,West
12327,4301.37,5/9/2025,SKU105,41,Dollar General,OSD,46,46.03,1,yes,yes,no,invalid,unit_of_measurement,4301.37,0,Unit of Measurement,WH4,West
14075,2865.38,11/17/2024,SKU129,28,Target,OSD,32,16.38,2,yes,yes,no,invalid,price mismatch,2865.38,0,Price Mismatch,WH3,South
13607,4161.57,5/27/2025,SKU114,47,Supervalu,OSD,50,99.93,5,yes,yes,no,partially invalid,load sequencing,1250.43,2911.14,Load Sequencing,WH2,Southwest
11343,1438.89,5/7/2025,SKU133,32,Kroger,OSD,37,26.36,3,yes,yes,no,invalid,product substitution,1438.89,0,Product Substitution,WH1,Midwest
11347,4592.14,7/10/2024,SKU133,17,Amazon,OSD,21,71.45,4,yes,yes,no,valid,,0,4592.14,,WH3,Northeast
13183,257.61,9/7/2024,SKU138,8,Dollar General,OSD,11,23.49,3,yes,yes,no,partially invalid,combined shipment,87.68,169.93,Combined Shipment,WH3,South
12995,638.44,2/1/2025,SKU123,46,Supervalu,OSD,47,65.29,3,yes,yes,no,invalid,price mismatch,638.44,0,Price Mismatch,WH3,West
11873,2430.24,1/23/2025,SKU140,12,Kroger,OSD,12,27.43,4,yes,yes,no,partially invalid,product substitution,1823.12,607.12,Product Substitution,WH2,Southeast
10804,271.86,4/21/2025,SKU149,43,BJ's,OSD,48,48.26,5,yes,yes,no,invalid,load sequencing,271.86,0,Load Sequencing,WH4,Southeast
12520,2699.13,11/28/2024,SKU112,42,Target,OSD,43,11.63,4,yes,yes,no,valid,,0,2699.13,,WH1,Northwest
13488,4584.29,12/9/2024,SKU129,40,Dollar General,OSD,43,29.25,3,yes,yes,no,partially invalid,load sequencing,4096.83,487.46,Load Sequencing,WH4,Southeast
10438,2592.63,8/1/2024,SKU145,31,BJ's,OSD,36,26.78,2,yes,yes,no,invalid,product substitution,2592.63,0,Product Substitution,WH4,East
12330,4305.7,8/11/2024,SKU120,2,Target,OSD,3,11.66,5,yes,yes,no,valid,,0,4305.7,,WH4,East
10046,1031.49,7/26/2024,SKU141,32,Target,OSD,36,19.06,2,yes,yes,no,valid,,0,1031.49,,WH3,Northwest
11634,4220.04,3/19/2025,SKU124,43,Costco,OSD,43,23.98,0,yes,yes,no,invalid,load sequencing,4220.04,0,Load Sequencing,WH3,South
12494,2873.27,1/21/2025,SKU103,1,Meijer,OSD,1,28.77,1,yes,yes,no,valid,,0,2873.27,,WH3,Southwest
14347,706.38,10/22/2024,SKU147,17,Dollar General,OSD,17,95.29,1,yes,yes,no,partially invalid,product substitution,589.72,116.66,Product Substitution,WH3,Southwest
14103,2466.64,8/23/2024,SKU146,6,Amazon,OSD,9,70.83,3,yes,yes,no,valid,,0,2466.64,,WH2,Southwest
11773,1852.29,1/26/2025,SKU129,1,Supervalu,OSD,3,39.8,1,yes,yes,no,invalid,product substitution,1852.29,0,Product Substitution,WH1,Southwest
13670,1851.47,6/16/2025,SKU141,8,Dollar General,OSD,11,73.43,2,yes,yes,no,partially invalid,order split,410.49,1440.98,Order Split,WH1,West
11341,835.3,6/27/2025,SKU136,16,Amazon,OSD,16,59.14,3,yes,yes,no,valid,,0,835.3,,WH1,West
10586,777.58,2/16/2025,SKU129,3,Kroger,OSD,3,78.39,5,yes,yes,no,invalid,combined shipment,777.58,0,Combined Shipment,WH1,South
10321,3598.44,7/3/2024,SKU131,45,Dollar General,OSD,48,43.27,4,yes,yes,no,partially invalid,combined shipment,1342.53,2255.91,Combined Shipment,WH3,Southeast
14274,3198.59,12/24/2024,SKU132,23,Amazon,OSD,27,65.28,3,yes,yes,no,invalid,combined shipment,3198.59,0,Combined Shipment,WH2,West
11266,3385.33,4/1/2025,SKU116,31,Kroger,OSD,31,80.91,4,yes,yes,no,invalid,product substitution,3385.33,0,Product Substitution,WH1,West
11144,2805.84,1/31/2025,SKU126,41,Kroger,OSD,44,27.57,2,yes,yes,no,valid,,0,2805.84,,WH3,Northeast
11079,4697.22,3/27/2025,SKU127,16,Meijer,OSD,21,36.8,5,yes,yes,no,partially invalid,unit_of_measurement,1158.09,3539.13,Unit of Measurement,WH3,Northeast
11468,3149.11,6/26/2025,SKU127,38,Meijer,OSD,38,63.83,5,yes,yes,no,invalid,price mismatch,3149.11,0,Price Mismatch,WH2,Southwest
13756,4305.78,1/17/2025,SKU133,28,Target,OSD,29,47.05,3,yes,yes,no,valid,,0,4305.78,,WH4,South
13477,1454.91,12/19/2024,SKU107,28,Supervalu,OSD,28,97.03,5,yes,yes,no,partially invalid,combined shipment,1164.75,290.16,Combined Shipment,WH4,East
